Year,Method,Rank,Team
1979,Method_1,1,73
1979,Method_1,2,20
1979,Method_1,3,63
1979,Method_1,4,61
1979,Method_1,5,33
1979,Method_1,6,35
1979,Method_1,7,119
1979,Method_1,8,120
1979,Method_1,9,134
1979,Method_1,10,136
1979,Method_1,11,97
1979,Method_1,12,37
1979,Method_1,13,62
1979,Method_1,14,77
1979,Method_1,15,64
1979,Method_1,16,43
1979,Method_1,17,27
1979,Method_1,18,100
1979,Method_1,19,137
1979,Method_1,20,28
1979,Method_1,21,91
1979,Method_1,22,113
1979,Method_1,23,81
1979,Method_1,24,124
1979,Method_1,25,117
1979,Method_1,26,71
1979,Method_1,27,93
1979,Method_1,28,29
1979,Method_1,29,138
1979,Method_1,30,50
1979,Method_1,31,118
1979,Method_1,32,69
1979,Method_1,33,38
1979,Method_1,34,82
1979,Method_1,35,30
1979,Method_1,36,114
1979,Method_1,37,127
1979,Method_1,38,133
1979,Method_1,39,2
1979,Method_1,40,23
1979,Method_1,41,36
1979,Method_1,42,130
1979,Method_1,43,106
1979,Method_1,44,108
1979,Method_1,45,72
1979,Method_1,46,109
1979,Method_1,47,31
1979,Method_1,48,44
1979,Method_1,49,78
1979,Method_1,50,139
1979,Method_1,51,125
1979,Method_1,52,0
1979,Method_1,53,39
1979,Method_1,54,131
1979,Method_1,55,56
1979,Method_1,56,65
1979,Method_1,57,85
1979,Method_1,58,57
1979,Method_1,59,84
1979,Method_1,60,8
1979,Method_1,61,67
1979,Method_1,62,54
1979,Method_1,63,58
1979,Method_1,64,74
1979,Method_1,65,86
1979,Method_1,66,128
1979,Method_1,67,110
1979,Method_1,68,48
1979,Method_1,69,111
1979,Method_1,70,79
1979,Method_1,71,75
1979,Method_1,72,40
1979,Method_1,73,42
1979,Method_1,74,89
1979,Method_1,75,16
1979,Method_1,76,52
1979,Method_1,77,66
1979,Method_1,78,102
1979,Method_1,79,47
1979,Method_1,80,21
1979,Method_1,81,24
1979,Method_1,82,17
1979,Method_1,83,99
1979,Method_1,84,116
1979,Method_1,85,22
1979,Method_1,86,90
1979,Method_1,87,32
1979,Method_1,88,122
1979,Method_1,89,49
1979,Method_1,90,55
1979,Method_1,91,46
1979,Method_1,92,132
1979,Method_1,93,103
1979,Method_1,94,123
1979,Method_1,95,1
1979,Method_1,96,126
1979,Method_1,97,92
1979,Method_1,98,87
1979,Method_1,99,19
1979,Method_1,100,101
1979,Method_1,101,18
1979,Method_1,102,68
1979,Method_1,103,112
1979,Method_1,104,34
1979,Method_1,105,80
1979,Method_1,106,10
1979,Method_1,107,115
1979,Method_1,108,4
1979,Method_1,109,105
1979,Method_1,110,25
1979,Method_1,111,70
1979,Method_1,112,94
1979,Method_1,113,3
1979,Method_1,114,14
1979,Method_1,115,9
1979,Method_1,116,53
1979,Method_1,117,107
1979,Method_1,118,5
1979,Method_1,119,6
1979,Method_1,120,88
1979,Method_1,121,104
1979,Method_1,122,98
1979,Method_1,123,76
1979,Method_1,124,45
1979,Method_1,125,95
1979,Method_1,126,121
1979,Method_1,127,7
1979,Method_1,128,59
1979,Method_1,129,60
1979,Method_1,130,15
1979,Method_1,131,11
1979,Method_1,132,83
1979,Method_1,133,51
1979,Method_1,134,135
1979,Method_1,135,129
1979,Method_1,136,96
1979,Method_1,137,12
1979,Method_1,138,41
1979,Method_1,139,26
1979,Method_1,140,13
1979,Method_2,1,20
1979,Method_2,2,35
1979,Method_2,3,33
1979,Method_2,4,61
1979,Method_2,5,134
1979,Method_2,6,64
1979,Method_2,7,119
1979,Method_2,8,73
1979,Method_2,9,120
1979,Method_2,10,43
1979,Method_2,11,63
1979,Method_2,12,113
1979,Method_2,13,27
1979,Method_2,14,97
1979,Method_2,15,37
1979,Method_2,16,100
1979,Method_2,17,106
1979,Method_2,18,114
1979,Method_2,19,62
1979,Method_2,20,118
1979,Method_2,21,28
1979,Method_2,22,124
1979,Method_2,23,93
1979,Method_2,24,77
1979,Method_2,25,30
1979,Method_2,26,81
1979,Method_2,27,50
1979,Method_2,28,117
1979,Method_2,29,36
1979,Method_2,30,29
1979,Method_2,31,38
1979,Method_2,32,71
1979,Method_2,33,2
1979,Method_2,34,127
1979,Method_2,35,91
1979,Method_2,36,31
1979,Method_2,37,23
1979,Method_2,38,109
1979,Method_2,39,56
1979,Method_2,40,82
1979,Method_2,41,133
1979,Method_2,42,48
1979,Method_2,43,108
1979,Method_2,44,69
1979,Method_2,45,85
1979,Method_2,46,39
1979,Method_2,47,47
1979,Method_2,48,84
1979,Method_2,49,54
1979,Method_2,50,78
1979,Method_2,51,75
1979,Method_2,52,110
1979,Method_2,53,136
1979,Method_2,54,74
1979,Method_2,55,0
1979,Method_2,56,125
1979,Method_2,57,65
1979,Method_2,58,116
1979,Method_2,59,42
1979,Method_2,60,57
1979,Method_2,61,40
1979,Method_2,62,44
1979,Method_2,63,89
1979,Method_2,64,67
1979,Method_2,65,137
1979,Method_2,66,32
1979,Method_2,67,21
1979,Method_2,68,86
1979,Method_2,69,111
1979,Method_2,70,49
1979,Method_2,71,16
1979,Method_2,72,55
1979,Method_2,73,52
1979,Method_2,74,8
1979,Method_2,75,102
1979,Method_2,76,66
1979,Method_2,77,22
1979,Method_2,78,103
1979,Method_2,79,122
1979,Method_2,80,138
1979,Method_2,81,58
1979,Method_2,82,92
1979,Method_2,83,123
1979,Method_2,84,101
1979,Method_2,85,90
1979,Method_2,86,1
1979,Method_2,87,46
1979,Method_2,88,105
1979,Method_2,89,130
1979,Method_2,90,79
1979,Method_2,91,25
1979,Method_2,92,10
1979,Method_2,93,3
1979,Method_2,94,70
1979,Method_2,95,72
1979,Method_2,96,115
1979,Method_2,97,68
1979,Method_2,98,132
1979,Method_2,99,17
1979,Method_2,100,139
1979,Method_2,101,112
1979,Method_2,102,99
1979,Method_2,103,34
1979,Method_2,104,18
1979,Method_2,105,87
1979,Method_2,106,131
1979,Method_2,107,24
1979,Method_2,108,104
1979,Method_2,109,94
1979,Method_2,110,80
1979,Method_2,111,53
1979,Method_2,112,14
1979,Method_2,113,128
1979,Method_2,114,76
1979,Method_2,115,9
1979,Method_2,116,19
1979,Method_2,117,45
1979,Method_2,118,121
1979,Method_2,119,4
1979,Method_2,120,88
1979,Method_2,121,5
1979,Method_2,122,107
1979,Method_2,123,98
1979,Method_2,124,6
1979,Method_2,125,95
1979,Method_2,126,83
1979,Method_2,127,59
1979,Method_2,128,126
1979,Method_2,129,60
1979,Method_2,130,96
1979,Method_2,131,15
1979,Method_2,132,7
1979,Method_2,133,51
1979,Method_2,134,11
1979,Method_2,135,129
1979,Method_2,136,41
1979,Method_2,137,26
1979,Method_2,138,12
1979,Method_2,139,135
1979,Method_2,140,13
1979,Method_3,1,113
1979,Method_3,2,37
1979,Method_3,3,20
1979,Method_3,4,64
1979,Method_3,5,50
1979,Method_3,6,56
1979,Method_3,7,23
1979,Method_3,8,73
1979,Method_3,9,93
1979,Method_3,10,97
1979,Method_3,11,134
1979,Method_3,12,29
1979,Method_3,13,106
1979,Method_3,14,27
1979,Method_3,15,30
1979,Method_3,16,120
1979,Method_3,17,38
1979,Method_3,18,40
1979,Method_3,19,28
1979,Method_3,20,118
1979,Method_3,21,33
1979,Method_3,22,70
1979,Method_3,23,47
1979,Method_3,24,75
1979,Method_3,25,39
1979,Method_3,26,69
1979,Method_3,27,62
1979,Method_3,28,52
1979,Method_3,29,54
1979,Method_3,30,74
1979,Method_3,31,119
1979,Method_3,32,35
1979,Method_3,33,124
1979,Method_3,34,117
1979,Method_3,35,81
1979,Method_3,36,0
1979,Method_3,37,57
1979,Method_3,38,67
1979,Method_3,39,66
1979,Method_3,40,61
1979,Method_3,41,127
1979,Method_3,42,1
1979,Method_3,43,36
1979,Method_3,44,63
1979,Method_3,45,16
1979,Method_3,46,65
1979,Method_3,47,100
1979,Method_3,48,105
1979,Method_3,49,82
1979,Method_3,50,68
1979,Method_3,51,10
1979,Method_3,52,48
1979,Method_3,53,43
1979,Method_3,54,110
1979,Method_3,55,109
1979,Method_3,56,85
1979,Method_3,57,114
1979,Method_3,58,84
1979,Method_3,59,108
1979,Method_3,60,121
1979,Method_3,61,22
1979,Method_3,62,91
1979,Method_3,63,77
1979,Method_3,64,116
1979,Method_3,65,58
1979,Method_3,66,32
1979,Method_3,67,55
1979,Method_3,68,18
1979,Method_3,69,2
1979,Method_3,70,76
1979,Method_3,71,115
1979,Method_3,72,101
1979,Method_3,73,86
1979,Method_3,74,53
1979,Method_3,75,60
1979,Method_3,76,42
1979,Method_3,77,8
1979,Method_3,78,14
1979,Method_3,79,49
1979,Method_3,80,94
1979,Method_3,81,102
1979,Method_3,82,15
1979,Method_3,83,31
1979,Method_3,84,122
1979,Method_3,85,78
1979,Method_3,86,132
1979,Method_3,87,79
1979,Method_3,88,45
1979,Method_3,89,112
1979,Method_3,90,92
1979,Method_3,91,46
1979,Method_3,92,21
1979,Method_3,93,17
1979,Method_3,94,34
1979,Method_3,95,3
1979,Method_3,96,90
1979,Method_3,97,80
1979,Method_3,98,104
1979,Method_3,99,51
1979,Method_3,100,25
1979,Method_3,101,125
1979,Method_3,102,24
1979,Method_3,103,111
1979,Method_3,104,83
1979,Method_3,105,103
1979,Method_3,106,123
1979,Method_3,107,9
1979,Method_3,108,19
1979,Method_3,109,89
1979,Method_3,110,4
1979,Method_3,111,87
1979,Method_3,112,41
1979,Method_3,113,71
1979,Method_3,114,5
1979,Method_3,115,6
1979,Method_3,116,59
1979,Method_3,117,107
1979,Method_3,118,12
1979,Method_3,119,129
1979,Method_3,120,7
1979,Method_3,121,98
1979,Method_3,122,133
1979,Method_3,123,13
1979,Method_3,124,44
1979,Method_3,125,11
1979,Method_3,126,96
1979,Method_3,127,95
1979,Method_3,128,135
1979,Method_3,129,136
1979,Method_3,130,26
1979,Method_3,131,99
